All unique variations,Normalized Region
Atlanta,Atlanta
Austin,Austin
Boston,Boston
Chicago,Chicago
East Bay,East Bay
Houston,Houston
London,London
Los Angeles,Los Angeles
Marin,Marin County
Marin County,Marin County
Mexico City,Mexico City
Nairobi,Nairobi
Napa Sonoma,Napa-Sonoma
Napa/Sonoma,Napa-Sonoma
Napa-Sonoma,Napa-Sonoma
New York,New York
None of these.,None of these.
Peninsula,Peninsula
San Diego,San Diego
San Francisco,San Francisco
Sao Paulo,Sao Paulo
Ṣo Paulo,Sao Paulo
Seattle,Seattle
Shanghai,Shanghai
Singapore,Singapore
South Florida,South Florida
Virtual-Only Americas,Virtual-Only Americas
Virtual-Only APAC+EMEA,Virtual-Only APAC+EMEA
"Virtual-Only APAC+EMEA (Asia-Pacific, Europe, Middle East and Africa)",Virtual-Only APAC+EMEA
"Virtual-Only APAC+EMEA (Asia-Pacific, Europe, Middle East, and Africa)",Virtual-Only APAC+EMEA
Washington DC,Washington DC
